grid_id,xmin,ymin,xmax,ymax,number_of_users,avg_rg,stddev_rg,mediana_rg
55,10.3607205311423,43.6729158540725,10.3787069632607,43.6909022861909,10,21364.2079618400527,25559.28621002899744557090657469,7161.02391779373
30,10.3247476669055,43.5829836934807,10.3427340990239,43.600970125599,4,37050.141992366157,30492.828535278471820797729523,60588.44405562052
10,10.2887748026688,43.5829836934807,10.3067612347872,43.600970125599,5,38200.157147915527,30554.441253678270257892257311,51118.74102573853
69,10.3787069632606,43.744861582546,10.396693395379,43.7628480146644,6,14950.242146558766,22601.560486836369918457925171,6975.092528545984
86,10.4146798274974,43.6909022861909,10.4326662596158,43.7088887183093,58,20612.5740299120536,21684.88290111334351073550579515,11396.70783352227
93,10.4326662596158,43.6369429898358,10.4506526917341,43.6549294219542,1,13128.9115376790410000,0,13128.911537679041
98,10.4326662596158,43.7268751504277,10.4506526917341,43.744861582546,0,0,0,0
50,10.3607205311423,43.5829836934807,10.3787069632607,43.600970125599,2,5421.5371939560115000,20.191126428531443187917890,5435.814476373421
26,10.3067612347872,43.6909022861909,10.3247476669055,43.7088887183093,0,0,0,0
39,10.3247476669055,43.744861582546,10.3427340990239,43.7628480146644,1,3248.2240557779000000,0,3248.2240557779
76,10.396693395379,43.6909022861909,10.4146798274974,43.7088887183093,97,21019.8917611438274,25908.45417663685627315206421403,11075.138429963656
94,10.4326662596158,43.6549294219542,10.4506526917341,43.6729158540725,25,29010.5805455299269,22947.54284035687209841370071159,26115.22176262657
36,10.3247476669055,43.6909022861909,10.3427340990239,43.7088887183093,0,0,0,0
6,10.2707883705504,43.6909022861909,10.2887748026688,43.7088887183093,0,0,0,0
106,10.4506526917341,43.6909022861909,10.4686391238525,43.7088887183093,30,17128.6180799246099,20647.08895543957962995862184713,7780.437486247319
56,10.3607205311423,43.6909022861909,10.3787069632607,43.7088887183093,11,18655.1104574473039,26924.17531895493804931188043285,4513.304345343353
7,10.2707883705504,43.7088887183093,10.2887748026688,43.7268751504277,0,0,0,0
18,10.2887748026688,43.7268751504277,10.3067612347872,43.744861582546,0,0,0,0
5,10.2707883705504,43.6729158540725,10.2887748026688,43.6909022861909,5,24189.699154926368,20763.076162585506491964392705,22110.906098985113
71,10.396693395379,43.600970125599,10.4146798274974,43.6189565577174,2,36634.687424690198,44285.717747936023523734244065,67949.4187539692
2,10.2707883705504,43.6189565577174,10.2887748026688,43.6369429898358,0,0,0,0
81,10.4146798274974,43.600970125599,10.4326662596158,43.6189565577174,1,19272.4206704420000000,0,19272.420670442
59,10.3607205311423,43.744861582546,10.3787069632607,43.7628480146644,14,15529.7876582303378,15102.97073131435383527686120520,9450.976406312673
99,10.4326662596158,43.744861582546,10.4506526917341,43.7628480146644,16,20628.1021231461106,29354.97611808283415891900760263,8426.419851595498
109,10.4506526917341,43.744861582546,10.4686391238525,43.7628480146644,13,17265.4640181377907,24953.50892749980965266366379793,6189.211262637248
40,10.3427340990239,43.5829836934807,10.3607205311423,43.600970125599,22,20813.3969931883032,20042.55369767983774647627557711,11738.528800072248
28,10.3067612347872,43.7268751504277,10.3247476669055,43.744861582546,0,0,0,0
54,10.3607205311423,43.6549294219542,10.3787069632607,43.6729158540725,1,52867.482957421760,0,52867.48295742176
108,10.4506526917341,43.7268751504277,10.4686391238525,43.744861582546,0,0,0,0
103,10.4506526917341,43.6369429898358,10.4686391238525,43.6549294219542,0,0,0,0
57,10.3607205311423,43.7088887183093,10.3787069632607,43.7268751504277,30,14620.3221995156102,14994.09159998497716869481065018,8648.946869059626
83,10.4146798274974,43.6369429898358,10.4326662596158,43.6549294219542,0,0,0,0
97,10.4326662596158,43.7088887183093,10.4506526917341,43.7268751504277,33,19295.1204804505817,26078.37642862175178349603563410,7934.481238203361
100,10.4506526917341,43.5829836934807,10.4686391238525,43.600970125599,5,9720.4230039808096000,5890.265058601427184667634632,6307.546684487896
41,10.3427340990239,43.600970125599,10.3607205311423,43.6189565577174,2,43061.435679262036,46514.316250997971909108822964,75952.02412259833
17,10.2887748026688,43.7088887183093,10.3067612347872,43.7268751504277,0,0,0,0
79,10.396693395379,43.744861582546,10.4146798274974,43.7628480146644,6,8638.8913286699340833,6144.02812651370472631166874878,7334.419262113126
80,10.4146798274974,43.5829836934807,10.4326662596158,43.600970125599,0,0,0,0
67,10.3787069632606,43.7088887183093,10.396693395379,43.7268751504277,59,23112.9172961308898,24980.31286161647525070034280050,11552.566818668409
82,10.4146798274974,43.6189565577174,10.4326662596158,43.6369429898358,0,0,0,0
31,10.3247476669055,43.600970125599,10.3427340990239,43.6189565577174,0,0,0,0
45,10.3427340990239,43.6729158540725,10.3607205311423,43.6909022861909,11,15165.9042109797376,15906.35299954583310294677382168,6722.758866500418
24,10.3067612347872,43.6549294219542,10.3247476669055,43.6729158540725,0,0,0,0
78,10.396693395379,43.7268751504277,10.4146798274974,43.744861582546,40,31428.2251881188551,36157.20819391229724353373584100,16376.697883927696
43,10.3427340990239,43.6369429898358,10.3607205311423,43.6549294219542,6,36508.8758171035817,39049.68080753448049870361053280,32038.65981550491
12,10.2887748026688,43.6189565577174,10.3067612347872,43.6369429898358,14,39792.8074071092047,33689.95427786715915975010395755,37195.363725991614
95,10.4326662596158,43.6729158540725,10.4506526917341,43.6909022861909,16,15668.1467233001840,10734.56030992876047885536241229,13822.700678089344
9,10.2707883705504,43.744861582546,10.2887748026688,43.7628480146644,0,0,0,0
87,10.4146798274974,43.7088887183093,10.4326662596158,43.7268751504277,120,19213.4641445837195,22745.46066384537107671428973729,10647.196790793048
66,10.3787069632606,43.6909022861909,10.396693395379,43.7088887183093,35,31683.767556166530,36651.117822075008618053768759,15054.909161907612
101,10.4506526917341,43.600970125599,10.4686391238525,43.6189565577174,17,16015.8301247988305,21581.74961474018379991074182534,6428.27907661767
68,10.3787069632606,43.7268751504277,10.396693395379,43.744861582546,21,33177.8246072559805,48538.74817314641062321061864014,14098.445727935037
107,10.4506526917341,43.7088887183093,10.4686391238525,43.7268751504277,11,20738.0066164875216,28688.54389591105718625723166783,11938.2607524036
53,10.3607205311423,43.6369429898358,10.3787069632607,43.6549294219542,0,0,0,0
13,10.2887748026688,43.6369429898358,10.3067612347872,43.6549294219542,2,35409.639305596668,40135.807018311907633797502798,63789.940616639644
1,10.2707883705504,43.600970125599,10.2887748026688,43.6189565577174,0,0,0,0
48,10.3427340990239,43.7268751504277,10.3607205311423,43.744861582546,0,0,0,0
15,10.2887748026688,43.6729158540725,10.3067612347872,43.6909022861909,0,0,0,0
61,10.3787069632606,43.600970125599,10.396693395379,43.6189565577174,1,93650.510472646250,0,93650.51047264625
73,10.396693395379,43.6369429898358,10.4146798274974,43.6549294219542,1,15754.8011328376090000,0,15754.801132837609
75,10.396693395379,43.6729158540725,10.4146798274974,43.6909022861909,2,4459.3370503249803000,2165.91952353783717261871389881,5990.873432922921
84,10.4146798274974,43.6549294219542,10.4326662596158,43.6729158540725,1,51268.693887602516,0,51268.693887602516
23,10.3067612347872,43.6369429898358,10.3247476669055,43.6549294219542,0,0,0,0
11,10.2887748026688,43.600970125599,10.3067612347872,43.6189565577174,8,72943.487942064287,57548.779596727021121227874613,84949.80428144176
96,10.4326662596158,43.6909022861909,10.4506526917341,43.7088887183093,49,27463.13777005539965,37996.6477090722381984689118815252,11980.855144867402
27,10.3067612347872,43.7088887183093,10.3247476669055,43.7268751504277,0,0,0,0
0,10.2707883705504,43.5829836934807,10.2887748026688,43.600970125599,0,0,0,0
104,10.4506526917341,43.6549294219542,10.4686391238525,43.6729158540725,4,60316.074774423614,44643.713642490663785040491472,79376.77409000922
102,10.4506526917341,43.6189565577174,10.4686391238525,43.6369429898358,3,33103.077903306580,41417.9127992655428259118321,12421.52628425203
63,10.3787069632606,43.6369429898358,10.396693395379,43.6549294219542,0,0,0,0
25,10.3067612347872,43.6729158540725,10.3247476669055,43.6909022861909,2,5599.5616507498435000,2228.33334689836177740779248979,7175.2312710857905
22,10.3067612347872,43.6189565577174,10.3247476669055,43.6369429898358,0,0,0,0
47,10.3427340990239,43.7088887183093,10.3607205311423,43.7268751504277,1,5911.7425858623840000,0,5911.742585862384
89,10.4146798274974,43.744861582546,10.4326662596158,43.7628480146644,10,14994.3756708585706,9573.35805667235129970826914533,15676.860721544546
33,10.3247476669055,43.6369429898358,10.3427340990239,43.6549294219542,0,0,0,0
21,10.3067612347872,43.600970125599,10.3247476669055,43.6189565577174,0,0,0,0
14,10.2887748026688,43.6549294219542,10.3067612347872,43.6729158540725,0,0,0,0
37,10.3247476669055,43.7088887183093,10.3427340990239,43.7268751504277,1,3396.4675461879146000,0,3396.4675461879146
105,10.4506526917341,43.6729158540725,10.4686391238525,43.6909022861909,6,16689.2489828424499,15704.27813322817764260711194617,23629.826990459107
64,10.3787069632606,43.6549294219542,10.396693395379,43.6729158540725,0,0,0,0
29,10.3067612347872,43.744861582546,10.3247476669055,43.7628480146644,1,9753.1420689095070000,0,9753.142068909507
4,10.2707883705504,43.6549294219542,10.2887748026688,43.6729158540725,17,26112.0808649734750,30133.48209409991434869538844494,12914.351078273305
85,10.4146798274974,43.6729158540725,10.4326662596158,43.6909022861909,29,22337.4130496223793,18845.72621809133128456502460136,17382.70003708472
16,10.2887748026688,43.6909022861909,10.3067612347872,43.7088887183093,0,0,0,0
74,10.396693395379,43.6549294219542,10.4146798274974,43.6729158540725,1,1960.9151771646686000,0,1960.9151771646686
88,10.4146798274974,43.7268751504277,10.4326662596158,43.744861582546,6,31757.179225525649,36695.151013978679204538428060,23550.97824965288
34,10.3247476669055,43.6549294219542,10.3427340990239,43.6729158540725,4,13666.2527654409399,12198.27806438639261644329929861,9706.988288456521
62,10.3787069632606,43.6189565577174,10.396693395379,43.6369429898358,1,4490.5213010610570000,0,4490.521301061057
77,10.396693395379,43.7088887183093,10.4146798274974,43.7268751504277,117,25089.8585179593081,27112.16310164525386068851706980,14360.470544798482
72,10.396693395379,43.6189565577174,10.4146798274974,43.6369429898358,0,0,0,0
44,10.3427340990239,43.6549294219542,10.3607205311423,43.6729158540725,4,57747.595375580084,56697.930618906577036314467179,80794.96535575025
90,10.4326662596158,43.5829836934807,10.4506526917341,43.600970125599,0,0,0,0
92,10.4326662596158,43.6189565577174,10.4506526917341,43.6369429898358,0,0,0,0
60,10.3787069632606,43.5829836934807,10.396693395379,43.600970125599,7,40482.593091342021,35628.369458612990763388020476,25187.743376258688
8,10.2707883705504,43.7268751504277,10.2887748026688,43.744861582546,0,0,0,0
52,10.3607205311423,43.6189565577174,10.3787069632607,43.6369429898358,0,0,0,0
20,10.3067612347872,43.5829836934807,10.3247476669055,43.600970125599,20,93261.906049915923,26473.947230480713928605941219,99315.84621463738
38,10.3247476669055,43.7268751504277,10.3427340990239,43.744861582546,0,0,0,0
35,10.3247476669055,43.6729158540725,10.3427340990239,43.6909022861909,1,177926.068231999230,0,177926.06823199923
58,10.3607205311423,43.7268751504277,10.3787069632607,43.744861582546,7,16438.4586650748420,15008.69326727604915511560913788,12564.28724999739
70,10.396693395379,43.5829836934807,10.4146798274974,43.600970125599,4,40452.241018462947,41282.568321688334566106834451,68382.14322737827
65,10.3787069632606,43.6729158540725,10.396693395379,43.6909022861909,8,82549.570466907403,43043.799899576292377505671352,101298.77892908984
42,10.3427340990239,43.6189565577174,10.3607205311423,43.6369429898358,0,0,0,0
91,10.4326662596158,43.600970125599,10.4506526917341,43.6189565577174,0,0,0,0
46,10.3427340990239,43.6909022861909,10.3607205311423,43.7088887183093,2,17951.488456203305,22154.4694868649598805237550,33617.06406395597
51,10.3607205311423,43.600970125599,10.3787069632607,43.6189565577174,0,0,0,0
32,10.3247476669055,43.6189565577174,10.3427340990239,43.6369429898358,0,0,0,0
3,10.2707883705504,43.6369429898358,10.2887748026688,43.6549294219542,3,35064.062917126350,33055.010826217650671108018030,24914.976561864423
49,10.3427340990239,43.744861582546,10.3607205311423,43.7628480146644,4,12368.1448653244958500,5709.60472375458508873155435628,15466.697926427621
19,10.2887748026688,43.744861582546,10.3067612347872,43.7628480146644,0,0,0,0
